Truck,Operation,entry_Time,arrive_unload_spot,start_unload_work,complete_unload_work,arrive_load_spot,start_load_work,complete_load_work,exit_Time,waiting_Time,op,unload_spot_truck_count,load_spot_truck_count,unload_block,load_block
9,in,15,20,20,31,0,0,0,33,18,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
4,in,8,13,13,36,0,0,0,40,32,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
6,in,12,17,22,45,0,0,0,49,37,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
11,in,21,26,41,53,0,0,0,58,37,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF88723B0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
5,in,11,16,36,60,0,0,0,62,51,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF94963E0>
14,in,29,34,53,68,0,0,0,70,41,in,1,0,<simpy.resources.resource.Resource object at 0x0000019BF88723B0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
25,in,50,55,55,74,0,0,0,79,29,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94962C0>,<simpy.resources.resource.Resource object at 0x0000019BF94962F0>
15,in,31,36,68,86,0,0,0,90,59,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF88723B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
23,in,46,51,86,96,0,0,0,99,53,in,1,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF94963E0>
36,in,73,78,85,96,0,0,0,101,28,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
28,in,58,63,74,98,0,0,0,103,45,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94962C0>,<simpy.resources.resource.Resource object at 0x0000019BF9496380>
16,in,33,38,86,109,0,0,0,111,78,in,3,0,<simpy.resources.resource.Resource object at 0x0000019BF88723B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
37,in,74,79,96,108,0,0,0,112,38,in,1,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
38,in,77,82,98,114,0,0,0,118,41,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496380>
29,in,61,66,96,119,0,0,0,124,63,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
34,in,71,76,119,142,0,0,0,146,75,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF94962F0>
52,in,105,110,119,144,0,0,0,146,41,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94962C0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
58,in,116,121,144,161,0,0,0,166,50,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94962C0>,<simpy.resources.resource.Resource object at 0x0000019BF94962F0>
61,in,120,125,149,163,0,0,0,166,46,in,1,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
42,in,84,89,142,165,0,0,0,169,85,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
46,in,93,98,151,166,0,0,0,171,78,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF9496380>
66,in,134,139,163,180,0,0,0,182,48,in,1,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
51,in,103,108,165,190,0,0,0,194,91,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF9496380>
67,in,137,142,180,203,0,0,0,206,69,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF94962F0>
49,in,99,104,188,208,0,0,0,210,111,in,4,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF94962F0>
60,in,119,124,200,223,0,0,0,226,107,in,3,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF94963E0>
64,in,129,134,224,239,0,0,0,241,112,in,4,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF94962F0>
84,in,174,179,216,238,0,0,0,243,69,in,1,0,<simpy.resources.resource.Resource object at 0x0000019BF88723B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
69,in,141,146,223,241,0,0,0,243,102,in,4,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
72,in,149,154,223,246,0,0,0,249,100,in,3,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF94962F0>
92,in,187,192,239,253,0,0,0,258,71,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
90,in,185,190,259,276,0,0,0,279,94,in,4,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF94963E0>
105,in,222,227,267,278,0,0,0,280,58,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
74,in,153,158,256,279,0,0,0,281,128,in,5,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
80,in,165,170,279,291,0,0,0,294,129,in,5,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
122,in,256,261,276,293,0,0,0,298,42,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF94962F0>
